,Random Forest,PCA + LDA,Scratch CNN,MobileNet Transfer
battery,0.5845272206303725,0.552901023890785,0.7129337539432177,0.9621993127147767
biological,0.35135135135135137,0.37037037037037035,0.7166123778501629,0.9731543624161074
brown-glass,0.3157894736842105,0.2557077625570776,0.7804878048780488,0.9257142857142857
cardboard,0.12195121951219512,0.3642611683848797,0.8093385214007782,0.9219330855018587
clothes,0.8124618204031765,0.8363636363636363,0.8790915163660654,0.9880728185812931
green-glass,0.3221476510067114,0.3137254901960784,0.8877005347593583,0.9518716577540107
metal,0.34309623430962344,0.25,0.5446808510638298,0.8114754098360656
paper,0.46534653465346537,0.5405405405405406,0.6777777777777778,0.8980891719745223
plastic,0.4461538461538462,0.38016528925619836,0.6072874493927125,0.8313725490196079
shoes,0.42572062084257206,0.5571955719557196,0.7204116638078902,0.9634551495016611
trash,0.45662100456621,0.41228070175438597,0.7428571428571429,0.9353233830845771
white-glass,0.22666666666666666,0.3305084745762712,0.6533864541832669,0.8546255506607929
